🕘️更新时间,#genre#
2025-09-28 18:27:59,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8

央视频道,#genre#
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-3,http://ha.wheel.duolebo.com/live.m3u8?p=bea7cd5b-d4cd-4d5f-9408-eb6df9ce08f3&c=1857461344&m3u8=true
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-7,http://171.15.18.199:8180/TV00000000000000000007@HHZT
CCTV-11,http://171.15.18.199:8180/TV00000000000000000011@HHZT
CCTV-12,http://171.15.18.199:8180/TV00000000000000000012@HHZT
CCTV-13,http://171.15.18.199:8180/TV00000000000000000013@HHZT
CCTV-15,http://1.180.2.93:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-15,http://171.15.18.199:8180/TV00000000000000000015@HHZT
CCTV-16,http://zqh2333.top:2222/rtp/239.93.55.54:5140
CETV-1,http://111.127.156.228:51234/rtp/239.29.0.95:5000
CETV-1,http://221.10.226.195:5000/rtp/239.0.0.51:5140
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140
CETV-1,http://223.167.230.34:4022/rtp/239.45.1.125:5140
CETV-1,http://223.167.245.215:8001/rtp/239.45.1.125:5140
CETV-2,http://223.167.245.215:8001/rtp/239.45.1.52:5140
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140
CETV-4,http://223.167.245.215:8001/rtp/239.45.1.50:5140
第一剧场,http://iptv.4666888.xyz/iptv2A.php?id=13
世界地理,http://61.184.46.85:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
世界地理,rtsp://115.153.245.70/PLTV/88888888/224/3221226965/86128966.smil
世界地理,rtsp://115.153.247.80/PLTV/88888888/224/3221226965/86128966.smil
世界地理,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226965/86128966.smil
世界地理,http://ygbh.site/php/bfgd.php?id=177

卫视频道,#genre#
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#mitv://generationnexxxt.com:19806/7bf4b3a65eaf421ab6d71bd8dcc4547a
湖南卫视,http://218.17.33.178:53290/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://113.26.202.52:1299/tsfile/live/0128_1.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://113.26.202.52:1299/tsfile/live/0122_1.m3u8
湖北卫视,http://satellitepull.cnr.cn/live/wx32hubws/playlist.m3u8
湖北卫视,http://113.26.202.52:1299/tsfile/live/0132_1.m3u8
黑龙江卫视,http://satellitepull.cnr.cn/live/wx32hljws/playlist.m3u8
黑龙江卫视,http://113.26.202.52:1299/tsfile/live/0143_1.m3u8
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8
安徽卫视,http://113.26.202.52:1299/tsfile/live/0130_1.m3u8
重庆卫视,http://satellitepull.cnr.cn/live/wxcqws/playlist.m3u8
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
贵州卫视,http://satellitepull.cnr.cn/live/wx32gzws/playlist.m3u8
河北卫视,http://satellitepull.cnr.cn/live/wxhebws/playlist.m3u8
河北卫视,http://php.fjl626.cn/hebei.php?id=hbws
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
河南卫视,http://223.167.230.34:4022/rtp/239.45.0.3:5140
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
